Image 1,Image 2,Menu,Winner,Num Voter,Num Vote 1,Num Vote 2
s1_1.jpg,s1_2.jpg,Sushi,1,129,81,48
s2_1.jpg,s2_2.jpg,Sushi,1,129,75,54
s3_1.jpg,s3_2.jpg,Sushi,1,129,84,45
s4_1.jpg,s4_2.jpg,Sushi,1,129,115,14
s5_1.jpg,s5_2.jpg,Sushi,1,129,101,28
s6_1.jpg,s6_2.jpg,Sushi,1,129,70,59
s7_1.jpg,s7_2.jpg,Sushi,2,129,11,118
s8_1.jpg,s8_2.jpg,Sushi,1,129,110,19
s9_1.jpg,s9_2.jpg,Sushi,1,129,111,18
s10_1.jpg,s10_2.jpg,Sushi,2,129,50,79
s11_1.jpg,s11_2.jpg,Sushi,1,129,65,64
s12_1.jpg,s12_2.jpg,Sushi,1,129,92,37
s13_1.jpg,s13_2.jpg,Sushi,2,129,52,77
s14_1.jpg,s14_2.jpg,Sushi,2,129,45,84
s15_1.jpg,s15_2.jpg,Sushi,1,129,80,49
s16_1.jpg,s16_2.jpg,Sushi,1,129,71,58
s17_1.jpg,s17_2.jpg,Sushi,1,129,77,52
s18_1.jpg,s18_2.jpg,Sushi,1,129,86,43
s19_1.jpg,s19_2.jpg,Sushi,2,129,61,68
s20_1.jpg,s20_2.jpg,Sushi,1,129,74,55
s21_1.jpg,s21_2.jpg,Sushi,1,129,73,56
s22_1.jpg,s22_2.jpg,Sushi,2,129,49,80
s23_1.jpg,s23_2.jpg,Sushi,1,129,68,61
s24_1.jpg,s24_2.jpg,Sushi,1,129,99,30
s25_1.jpg,s25_2.jpg,Sushi,2,129,48,81
s26_1.jpg,s26_2.jpg,Sushi,2,129,27,102
s27_1.jpg,s27_2.jpg,Sushi,1,129,110,19
s28_1.jpg,s28_2.jpg,Sushi,1,129,83,46
s29_1.jpg,s29_2.jpg,Sushi,1,129,66,63
s30_1.jpg,s30_2.jpg,Sushi,2,129,10,119
s31_1.jpg,s31_2.jpg,Sushi,2,129,41,88
s32_1.jpg,s32_2.jpg,Sushi,2,129,39,90
s33_1.jpg,s33_2.jpg,Sushi,1,129,73,56
s34_1.jpg,s34_2.jpg,Sushi,2,129,24,105
s35_1.jpg,s35_2.jpg,Sushi,1,129,68,61
s36_1.jpg,s36_2.jpg,Sushi,2,129,33,96
s37_1.jpg,s37_2.jpg,Sushi,2,129,46,83
s38_1.jpg,s38_2.jpg,Sushi,1,129,89,40
s39_1.jpg,s39_2.jpg,Sushi,2,129,18,111
s40_1.jpg,s40_2.jpg,Sushi,1,129,94,35
s41_1.jpg,s41_2.jpg,Sushi,1,129,108,21
s42_1.jpg,s42_2.jpg,Sushi,2,129,55,74
s43_1.jpg,s43_2.jpg,Sushi,1,129,107,22
s44_1.jpg,s44_2.jpg,Sushi,2,129,30,99
s45_1.jpg,s45_2.jpg,Sushi,2,129,50,79
s46_1.jpg,s46_2.jpg,Sushi,1,129,88,41
s47_1.jpg,s47_2.jpg,Sushi,1,129,92,37
s48_1.jpg,s48_2.jpg,Sushi,1,129,76,53
s49_1.jpg,s49_2.jpg,Sushi,2,129,41,88
s50_1.jpg,s50_2.jpg,Sushi,1,129,76,53
s51_1.jpg,s51_2.jpg,Sushi,2,129,56,73
s52_1.jpg,s52_2.jpg,Sushi,2,129,29,100
s53_1.jpg,s53_2.jpg,Sushi,1,129,93,36
s54_1.jpg,s54_2.jpg,Sushi,2,129,37,92
s55_1.jpg,s55_2.jpg,Sushi,2,129,35,94
s56_1.jpg,s56_2.jpg,Sushi,1,129,80,49
s57_1.jpg,s57_2.jpg,Sushi,1,129,74,55
s58_1.jpg,s58_2.jpg,Sushi,2,129,59,70
s59_1.jpg,s59_2.jpg,Sushi,2,129,57,72
s60_1.jpg,s60_2.jpg,Sushi,2,129,63,66
s61_1.jpg,s61_2.jpg,Sushi,2,129,27,102
s62_1.jpg,s62_2.jpg,Sushi,2,129,33,96
s63_1.jpg,s63_2.jpg,Sushi,2,129,57,72
s64_1.jpg,s64_2.jpg,Sushi,2,129,63,66
s65_1.jpg,s65_2.jpg,Sushi,1,129,90,39
s66_1.jpg,s66_2.jpg,Sushi,2,129,56,73
s67_1.jpg,s67_2.jpg,Sushi,1,129,66,63
s68_1.jpg,s68_2.jpg,Sushi,2,129,52,77
s69_1.jpg,s69_2.jpg,Sushi,1,129,97,32
s70_1.jpg,s70_2.jpg,Sushi,1,129,110,19
s71_1.jpg,s71_2.jpg,Sushi,2,129,46,83
s72_1.jpg,s72_2.jpg,Sushi,1,129,86,43
s73_1.jpg,s73_2.jpg,Sushi,1,129,94,35
s74_1.jpg,s74_2.jpg,Sushi,2,129,27,102
s75_1.jpg,s75_2.jpg,Sushi,2,129,28,101
s76_1.jpg,s76_2.jpg,Sushi,1,129,66,63
s77_1.jpg,s77_2.jpg,Sushi,2,129,63,66
s78_1.jpg,s78_2.jpg,Sushi,2,129,54,75
s79_1.jpg,s79_2.jpg,Sushi,2,129,36,93
s80_1.jpg,s80_2.jpg,Sushi,1,129,70,59
s81_1.jpg,s81_2.jpg,Sushi,2,129,22,107
s82_1.jpg,s82_2.jpg,Sushi,2,129,53,76
s83_1.jpg,s83_2.jpg,Sushi,1,129,112,17
s84_1.jpg,s84_2.jpg,Sushi,2,129,40,89
s85_1.jpg,s85_2.jpg,Sushi,2,129,30,99
s86_1.jpg,s86_2.jpg,Sushi,2,129,18,111
s87_1.jpg,s87_2.jpg,Sushi,2,129,56,73
s88_1.jpg,s88_2.jpg,Sushi,1,129,110,19
s89_1.jpg,s89_2.jpg,Sushi,2,129,58,71
